utc_start	utc_end	exit_code	sanitized_invocation	artifact	sha256
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	node --check scripts/resync-managed-command-ledger.mjs	final-node-syntax-resync.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	final-json-parse.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:37Z	2026-08-24T12:40:37Z	0	npm run test:web-container	final-web-container-tests.txt	00698ca8753d1aa5b7b0748e6ecbaf23fc6c7c36793855fb6219545173d5d92b
2026-08-24T12:40:37Z	2026-08-24T12:40:39Z	0	npx tsc --noEmit	final-tsc.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:39Z	2026-08-24T12:40:40Z	0	scripts/verify-managed-command-ledger.sh docs/evidence/P0-03/managed-classifier-retry-20260824	final-ledger-integrity.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:56Z	2026-08-24T12:40:57Z	0	scripts/check-managed-evidence-sanitization.sh docs/evidence/P0-03/managed-classifier-retry-20260824	final-sanitization-check.txt	86134af6b201c53c1d45a38ec98a480d294c9cd10c55d7d7019515a089f3e378
2026-08-24T12:40:57Z	2026-08-24T12:40:57Z	0	git diff --check	final-diff-check.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:40:57Z	2026-08-24T12:40:57Z	0	scripts/verify-managed-command-ledger.sh docs/evidence/P0-03/managed-classifier-retry-20260824	final-ledger-integrity-after-checks.txt	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
2026-08-24T12:57:15Z	2026-08-24T12:57:18Z	0	scripts/staging-task-window-aggregate.sh	remediation-parity-baseline.txt	a851beedf56bc815c727f74099f7b170e8590e8671b1634bbb87972f52482e13
2026-08-24T12:57:32Z	2026-08-24T12:57:33Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-hold-503.txt	fc6b9cec69927a2e4896b39f6bc1df2c771bbaea42050b637a77dcb755a17aaa
2026-08-24T12:57:33Z	2026-08-24T12:57:34Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-worker-service-live.json	89291b3a2ce6570a627a5c3c89331cf55441443b5b721c4c8e22c21551036662
2026-08-24T12:57:34Z	2026-08-24T12:57:34Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-worker-explicit-deploy.json	efcd3d2f87d7d28a73788497e9019e4735e0c3893dc38fdbf0fc5df538556dec
2026-08-24T12:57:34Z	2026-08-24T12:57:35Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-worker-startup.txt	8ed83fe4b866eb852660504f0056f63839dc970591b12789be8f7b3e3c41e577
2026-08-24T12:57:35Z	2026-08-24T12:57:35Z	0	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-queue-final.txt	de91b37df5499c7f348c078b6baf7a9c08b9c2066b0f2ac917a4b4170f73f91e
2026-08-24T12:57:35Z	2026-08-24T12:57:36Z	5	sh -c '<REDACTED_COMPLEX_ARG>'	remediation-staging-db-allowlist.json	f7f5a3c62db4cb6df7e8569c34fe54f9029ece4373be1eb32f87dd0e70e61836
